Disease,Category,Symptoms,Prevention,Risk_Level
Uterine fibroids,Cancer,"Many people who have uterine fibroids don't have any symptoms. In those who do, symptoms can be influenced by the location, size and number of fibroids; The most common symptoms of uterine fibroids include:; Heavy menstrual bleeding or painful periods; Longer or more frequent periods; Pelvic pressure or pain; Frequent urination or trouble urinating; Growing stomach area; Constipation",Researchers continue to study the causes of fibroid tumors; You might be able to lower your fibroid risk with healthy lifestyle changes; Some research suggests that birth control pills or long-acting progestin-only contraceptives may lower the risk of fibroids,High
Interstitial lung disease,Respiratory,Shortness of breath at rest or shortness of breath that worsens with physical activity; Dry cough,"To prevent interstitial lung disease, avoid exposure to toxins at work, such as asbestos, coal dust and silica dust; If you have an autoimmune disease or are taking medicines that raise your risk of getting ILD, talk with your healthcare professional about steps you can take to prevent ILD",High
Pulmonary fibrosis,Respiratory,"Shortness of breath; Dry cough; Extreme tiredness; Weight loss that's not intended; Aching muscles and joints; Widening and rounding of the tips of the fingers or toes, called clubbing; How fast pulmonary fibrosis worsens over time and how severe the symptoms are can vary greatly from person to person",,High
Arteriovenous fistula,Cardiovascular,"Small arteriovenous fistulas in the legs, arms, lungs, kidneys or brain often won't have any signs or symptoms; Arteriovenous fistula signs and symptoms may include:; A significant arteriovenous fistula in the lungs (pulmonary arteriovenous fistula) is a serious condition and can cause:; An arteriovenous fistula in the digestive tract can cause gastrointestinal (GI) bleeding",,Medium
Gas and gas pains,Digestive,"Burping is normal, particularly during or right after a meal",,High
Eye floaters,Eye,"Small shapes in your vision that appear as dark specks or knobby, transparent strings of floating material; Spots that move when you move your eyes, so when you try to look at them, they move quickly out of your line of vision; Spots that are most noticeable when you look at a plain bright background, such as a blue sky or a white wall; Small shapes or strings that eventually settle down and drift out of the line of vision",,High
Influenza (flu),Respiratory,The viruses that cause flu spread at high levels during certain times of the year in the Northern and Southern hemispheres; Symptoms of the flu such as a sore throat and a runny or stuffy nose are common; Other common flu symptoms include:; Fever; Cough; Headache; Muscle aches; Feeling very tired,"The U; Getting a flu vaccine lowers:; The risk of getting the flu. If the vaccine is given later in pregnancy, the flu vaccine helps protect a newborn from the flu too; The risk of having serious illness from the flu and needing to stay in the hospital due to the flu; The risk of dying of the flu; The 2024-2025 seasonal flu vaccines each provide protection against three influenza viruses that researchers expect to be the most common this flu season; The vaccine is available as a shot, a jet injector and a nasal spray; For older children and adults, the flu shot is usually given in a muscle in the arm. Younger children may get the flu shot in a thigh muscle",High
H1N1 flu (swine flu),Respiratory,"The symptoms of flu caused by H1N1, commonly called the swine flu, are similar to those of other flu viruses; Symptoms usually start quickly and can include:; Fever, but not always; Aching muscles; Chills and sweats; Cough; Sore throat; Runny or stuffy nose","The Centers for Disease Control and Prevention (CDC) recommends annual flu vaccination for everyone age 6 months or older; The flu vaccine can lower your risk of getting the flu. It also can lower the risk of having serious illness from the flu and needing to stay in the hospital; Each year's seasonal flu vaccine protects against the three or four influenza viruses; Flu vaccination is especially important because the flu and coronavirus disease 2019 (COVID-19) cause similar symptoms; BothCOVID-19and the flu may be spreading at the same time; Vaccination also helps lower the number of people with severe flu and complications. And that may lower the number of people needing to stay in the hospital; The flu vaccine is available as an injection and as a nasal spray; The nasal spray is approved for people between 2 and 49 years old. It isn't recommended for some groups, such as:",High
Pericardial effusion,Cardiovascular,"Pericardial effusion may not cause any noticeable signs and symptoms, particularly if the fluid has increased slowly; If pericardial effusion signs and symptoms do occur, they might include:",,High
Food poisoning,Digestive,Symptoms vary depending on what is causing the illness. They may begin within a few hours or a few weeks depending on the cause; Common symptoms are:; Upset stomach; Vomiting; Diarrhea; Diarrhea with bloody stools; Stomach pain and cramps; Fever,"Handwashing.Wash your hands with soap and water for at least 20 seconds. Do this after using the toilet, before eating, and before and after handling food; Wash fruits and vegetables.Rinse fruits and vegetables under running water before eating, peeling or preparing; Wash kitchen utensils thoroughly.Wash cutting boards, knives and other utensils with soapy water after contact with raw meats or unwashed fruits and vegetables; Don't eat raw or undercooked meat or fish; Refrigerate or freeze leftovers; Cook leftovers safely; Throw it out when in doubt; Throw out moldy food",High
Broken foot,Musculoskeletal,"Instant throbbing pain; Pain that gets worse with activity and gets better with rest; Swelling; Bruising; Tenderness; Change in the typical shape of the foot, called deformity; Trouble or pain with walking or putting weight on the foot; Bone sticking through the skin, called an open fracture",Wear proper shoes.Use hiking shoes on rough terrain. Choose the right athletic shoes for your sport; Replace athletic shoes when needed; Start slowly.That applies to a new fitness program and to every workout you do; Have a balanced fitness program; Build bone strength; Use night lights.Many broken toes are the result of walking in the dark; Get rid of clutter in your home.Keeping clutter off the floor can help you not trip and fall,Medium
Patent foramen ovale,Cardiovascular,Patent foramen ovale occurs in about 1 in 4 people,,High
Growth plate fractures,Musculoskeletal,"Pain and tenderness, particularly in response to pressure on the growth plate; Inability to move the affected area or to put weight or pressure on the limb; Warmth and swelling at the end of a bone, near a joint; If you suspect a fracture, take your child to be examined by a doctor",,Medium
Broken leg,Musculoskeletal,"The thighbone (femur) is the strongest bone in the body; Signs and symptoms of a broken leg may include:; Severe pain, which may worsen with movement; Swelling; Tenderness; Bruising; Obvious deformity or shortening of the affected leg; Inability to walk",Build bone strength; Wear proper athletic shoes; Cross-train,High
Stress fractures,Musculoskeletal,"At first, you might barely notice the pain from a stress fracture",Simple steps can help you prevent stress fractures,Medium
Broken ribs,Respiratory,A deep breath; Pressure on the injured area; A bend or a twist of the body,Protect from athletic injuries.Wear protective equipment when playing contact sports; Reduce the risk of falls in the house; Strengthen bones,High
Focal segmental glomerulosclerosis (FSGS),Endocrine,"Swelling, called edema, in the legs and ankles, around the eyes and in other body parts; Weight gain from fluid buildup; Foamy urine from protein buildup, called proteinuria",,Medium
Nail fungus,Infectious,"Thickened; Discolored; Brittle, crumbly or ragged; Misshapen; Separated from the nail bed; Smelly; Nail fungus can affect fingernails, but it's more common in toenails",Keep your nails clean and dry; Keep your nails trimmed; Wear absorbent socks or change your socks throughout the day; Choose shoes made of materials that breathe; Discard old shoes or treat them with disinfectants or antifungal powders; Wear footwear in pool areas and locker rooms; Choose a nail salon that uses sterilized manicure tools for each customer. Or disinfect tools you use for home pedicures; Give up nail polish and artificial nails,High
Pectus excavatum,Cardiovascular,"For many people with pectus excavatum, the only symptom is a slight dip in their chests; In people with pectus excavatum, the breastbone may compress the lungs and heart. Symptoms can include:; A fast-beating, fluttering or pounding heart; Chest pain; Loss of endurance that becomes worse over time; Shortness of breath or extreme tiredness during physical activity; A high-pitched whistling sound made while breathing that's triggered by exercise; Fainting or dizziness",,Medium
Cholecystitis,Cancer,Severe pain in the upper right or center belly area; Pain that spreads to the right shoulder or back; Tenderness over the belly area when it's touched; Nausea; Vomiting; Fever; Cholecystitis symptoms often come on after a meal. A large or fatty meal is most likely to cause symptoms,Lose weight slowly.Fast weight loss can raise the risk of gallstones; Be at a healthy weight; Choose a healthy-eating plan,High
Dumping syndrome,Digestive,Late dumping syndrome starts 1 to 3 hours after you eat a high-sugar meal; Signs and symptoms of late dumping syndrome can include:; Some people have both early and late signs and symptoms. And dumping syndrome can develop years after surgery,,Medium
Viral gastroenteritis (stomach flu),Digestive,"Depending on the cause, viral gastroenteritis symptoms may appear within 1-3 days after you're infected and can range from mild to severe; Because the symptoms are similar, it's easy to confuse viral diarrhea with diarrhea caused by bacteria, such as Clostridioides difficile, salmonella and Escherichia coli, or parasites, such as giardia","Wash your hands thoroughly.And make sure your children do, too. If your children are older, teach them to wash their hands, especially after using the toilet; Wash your hands after changing diapers and before preparing or eating food, too",High
Glioblastoma,Cancer,"Headache, particularly one that hurts the most in the morning; Nausea and vomiting; Confusion or a decline in brain function, such as problems with thinking and understanding information; Memory loss; Personality changes or irritability; Vision changes, such as blurred vision, double vision or loss of peripheral vision; Speech difficulties; Trouble with balance or coordination",,High
Gender dysphoria,Infectious,"Gender identity is having the internal sense of being male or female or being somewhere along the gender spectrum, or having an internal sense of gender that is beyond male and female; Gender dysphoria might start in childhood and continue into the teen years and adulthood; Some teens might express their feelings of gender dysphoria to their parents or a healthcare professional",,Low
Gaucher disease,Digestive,"Some symptoms are shared by all types of Gaucher disease, but each type varies in important ways",,High
Celiac disease,Digestive,"Diarrhea; Fatigue; Weight loss; Bloating and gas; Abdominal pain; Nausea and vomiting; Constipation; However, more than half the adults with celiac disease have symptoms that are not related to the digestive system, including:",,High
Blood in urine (hematuria),Eye,"Blood in the urine can look pink, red or cola-colored. Red blood cells cause the urine to change color. It takes only a small amount of blood to turn urine red; The bleeding often isn't painful. But if blood clots get passed in the urine, that can hurt",,Medium
Gingivitis,Musculoskeletal,"Swollen or puffy gums; Bright red or dark red gums, or gums that are darker than usual; Gums that bleed easily when you brush or floss; Tender gums; Bad breath",Practice good oral care; Go to the dentist regularly; Take steps to lead a healthy lifestyle,High
Periodontitis,Infectious,"Healthy gums are firm and fit snugly around teeth; Symptoms of periodontitis can include:; Swollen or puffy gums; Bright red, dark red or dark purple gums; Gums that feel tender when touched; Gums that bleed easily; A toothbrush that looks pink after brushing your teeth; Spitting out blood when brushing or flossing your teeth",The best way to prevent periodontitis is to get into the habit of taking good care of your mouth and teeth; Good oral care; Regular dental visits,Medium
Enlarged breasts in men (gynecomastia),Endocrine,"Pain, especially in teenagers; Swollen breast tissue; Tender breasts; Sensitive nipples when they rub against clothes","Don't use drugs.Examples include anabolic steroids, amphetamines, heroin and marijuana; Limit or stay away from alcohol.It helps not to drink alcohol. If you do drink, do so in moderation. That means no more than two drinks a day for men",High
Trichotillomania (hair-pulling disorder),Infectious,"Repeatedly pulling out your hair, whether it's automatic or on purpose, usually from your scalp, eyebrows or eyelashes, but sometimes from other body areas; An increasing sense of tension before pulling out your hair, or when you try to resist pulling; A sense of pleasure or relief after the hair is pulled out; Hair loss that's easy to see, such as shortened hair or thinned or bald areas on the scalp or other areas of your body; Pulling out specific types of hair, taking the same steps in the same way each time hair is pulled out or pulling out hair in certain patterns; Biting, chewing or eating pulled-out hair; Playing with pulled-out hair or rubbing it across your lips or face; Repeatedly trying to stop pulling out your hair or trying to do it less often without success",,High
Black hairy tongue,Infectious,"Black color of the tongue, but the color may be brown, green, yellow or white; A hairy or furry look to the tongue; Changed taste or a metallic taste in your mouth; Bad breath; Gagging or tickling feeling in your mouth, if the papillae are very large; Rarely, a burning feeling on the tongue if hairy black tongue is caused by a yeast or bacterial infection",,Low
Bad breath,Mental Health,"Bad breath odors vary, depending on the cause",,Medium
Hepatitis A,Digestive,"Unusual tiredness and weakness; Sudden nausea and vomiting and diarrhea; Abdominal pain or discomfort, especially on the upper right side beneath your lower ribs, which is over your liver; Clay- or gray-colored stool; Loss of appetite; Low-grade fever; Dark urine; Joint pain","The hepatitis A vaccine can prevent infection with the virus; The Centers for Disease Control and Prevention recommends the hepatitis A vaccine for the following people:; All children at age 1 year, or older children who didn't receive the childhood vaccine; Anyone age 1 year or older who is homeless; Infants ages 6 to 11 months traveling to parts of the world where hepatitis A is common; Family and caregivers of adoptees from countries where hepatitis A is common; People in direct contact with others who have hepatitis A; Laboratory workers who may come into contact with hepatitis A",Medium
Hepatitis B,Cancer,"Symptoms of acute hepatitis B range from mild to serious; Hepatitis B symptoms may include:; Pain in the stomach area, also called the abdomen; Dark urine; Fever; Joint pain; Loss of appetite; Upset stomach and vomiting","The hepatitis B vaccine is the main way to prevent infection withHBV; In the United States, the Advisory Committee on Immunization Practices recommends that infants get their first shot of the vaccine after they're born; The hepatitis B vaccine is strongly recommended for:; Newborns; Children and adolescents not vaccinated at birth; Those who work or live in centers for people who have developmental disabilities; People who live with someone who has hepatitis B; Healthcare workers, emergency workers and other people who come into contact with blood",High
Hepatocellular carcinoma,Cancer,"Hepatocellular carcinoma might not cause symptoms that are noticed right away; If signs and symptoms of hepatocellular carcinoma develop, they may include:; Losing weight without trying; Loss of appetite; Upper abdominal pain; A growth in the abdomen; Yellowing of the skin and the whites of the eyes, known as jaundice; Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you","Drink alcohol in moderation, if at all; Maintain a healthy weight; Infection with the hepatitis B virus increases the risk of hepatocellular carcinoma; Infection with the hepatitis C virus increases the risk of hepatocellular carcinoma; Know the health status of any sexual partner; Don't use intravenous drugs, but if you do, use a clean needle; Seek safe, clean shops when getting a piercing or tattoo; Treatments are available for hepatitis B and hepatitis C infections. Research shows that treatment can reduce the risk of hepatocellular carcinoma",Low
Hepatitis C,Digestive,"Every long-term hepatitis C infection starts with what's called an acute phase; Long-term infection with the hepatitis C virus is called chronic hepatitis C; Symptoms can include:; Bleeding easily; Bruising easily; Fatigue; Not wanting to eat; Yellowing of the skin, called jaundice. This might show up more in white people. Also, yellowing of the whites of the eyes in white, Black and brown people","Stop using illegal drugs.If you use illegal drugs, seek help; Be careful about body piercing and tattooing; Practice safer sex",High
Coma,Cardiovascular,"Closed eyes; Depressed brainstem reflexes, such as pupils not responding to light; No responses of limbs except for reflex movements; No response to painful stimuli except for reflex movements; Irregular breathing",,High
Chronic daily headaches,Neurological,"By definition, chronic daily headaches occur 15 days or more a month, for longer than three months; There are short-lasting and long-lasting chronic daily headaches. Long-lasting headaches last more than four hours. They include:; Chronic migraine; Chronic tension-type headache; New daily persistent headache; Hemicrania continua",Taking care of yourself might help ease chronic daily headaches; Avoid headache triggers; Avoid medication overuse; Get enough sleep; Don't skip meals; Exercise regularly; Reduce stress; Reduce caffeine,High
Migraine,Neurological,Migraines can affect children and teenagers as well as adults,,High
Cough headaches,Neurological,"Secondary cough headaches often present with only a cough headache, but you may also experience:; A cough headache only happens right after coughing","While these steps may help prevent a cough headache, any headache related to coughing or straining should always be checked by your provider",High
Sex headaches,Neurological,"In some people, both types of headaches are combined; Most sex headaches last at least several minutes. Others may linger for hours or even 2 to 3 days; Many people who have sex headaches will experience them in clusters over a few months, and then they may go for a year or more without having any",Sometimes sex headaches can be prevented by stopping sexual activity before orgasm. Taking a more passive role during sex also may help,High
Spinal headaches,Neurological,"Dull, throbbing pain that varies in intensity from mild to very severe; Pain that typically gets worse when you sit up or stand and decreases or goes away when you lie down; Spinal headaches are often accompanied by:; Dizziness; Ringing in the ears (tinnitus); Hearing loss; Blurred or double vision; Sensitivity to light (photophobia)",,High
Tension headache,Neurological,"Dull, aching head pain; Feeling of tightness or pressure across the forehead or on the sides and back of the head; Tenderness in the scalp, neck and shoulder muscles; Tension-type headaches are divided into two main categories — episodic and chronic","Biofeedback training; Cognitive behavioral therapy.This type of talk therapy may help you learn to manage stress. Doing this may help you have fewer or less painful headaches; Other relaxation techniques; Using medicines along with stress management may be more effective than any one treatment in reducing your tension-type headaches; Also, living a healthy lifestyle may help prevent headaches:; Get enough, but not too much, sleep; Don't smoke; Stay physically active",High
Thunderclap headaches,Neurological,"Strikes suddenly and severely; Peaks within 60 seconds; Can be accompanied by nausea or vomiting; Thunderclap headaches might be accompanied by other signs and symptoms, such as:; Altered mental state; Fever; Seizures; These signs and symptoms might reflect the underlying cause",,High
Illness anxiety disorder,Mental Health,Being preoccupied with having or getting a serious disease or health condition; Worrying that minor symptoms or body sensations mean you have a serious illness; Being easily alarmed about your health status; Finding little or no reassurance from doctor visits or negative test results; Worrying excessively about a specific medical condition or your risk of developing a medical condition because it runs in your family; Having so much distress about possible illnesses that it's hard for you to function; Repeatedly checking your body for signs of illness or disease; Frequently making medical appointments for reassurance — or avoiding medical care for fear of being diagnosed with a serious illness,"Little is known about how to prevent illness anxiety disorder, but these suggestions may help; If you have problems with anxiety, seek professional adviceas soon as possible to help stop symptoms from getting worse and impairing your quality of life; Learn to recognize when you're stressed and how this affects your body— and regularly practice stress management and relaxation techniques; Stick with your treatment planto help prevent relapses or worsening of symptoms",High
Congenital heart disease in adults,Cardiovascular,"Some people born with a heart problem don't notice symptoms until later in life. Symptoms also may return years after a congenital heart defect is treated; Common congenital heart disease symptoms in adults include:; Irregular heartbeats, called arrhythmias; Blue or gray skin, lips and fingernails due to low oxygen levels. Depending on the skin color, these changes may be harder or easier to see; Shortness of breath; Feeling tired very quickly with activity; Swelling due to fluid collecting inside body tissues, called edema","Because the exact cause of most congenital heart disease is unknown, it may not be possible to prevent these heart conditions",High
Plantar fasciitis,Musculoskeletal,Plantar fasciitis typically causes a stabbing pain in the bottom of your foot near the heel,,Medium
Liver hemangioma,Cancer,"In most cases, a liver hemangioma doesn't cause any signs or symptoms",,High
Intracranial hematoma,Neurological,"Symptoms of an intracranial hematoma may develop right after a head injury, or they may take weeks or longer to appear; Over time, pressure on the brain increases, producing some or all of the following symptoms:; Headache that gets worse; Vomiting; Drowsiness and gradual loss of consciousness; Dizziness; Confusion; Pupils that are different sizes",Wear a helmet and make sure your kids wear helmets; Buckle your seat belt and make sure your kids are buckled in.Do so every time you drive or ride in a motor vehicle; Protect young children,High
Autoimmune hepatitis,Digestive,"Fatigue; Belly discomfort; Yellowing of the skin and whites of the eyes, called jaundice. Depending on skin color, this change may be harder or easier to see; An enlarged liver; Irregular blood vessels on the skin, called spider angiomas; Skin rash; Joint pain; Loss of menstrual periods",,High
Toxic hepatitis,Digestive,Yellowing of the skin and whites of the eyes (jaundice); Itching; Abdominal pain in the upper right portion of the abdomen; Fatigue; Loss of appetite; Nausea and vomiting; Rash; Fever,Limit medications; Take medications only as directed; Be cautious with herbs and supplements; Don't mix alcohol and drugs; Take precautions with chemicals; Keep medications and chemicals away from children,High
Wilson's disease,Neurological,"Wilson's disease is present at birth, but symptoms don't appear until copper levels build up in the brain, liver, eyes or another organ; These symptoms can include:; Tiredness and loss of appetite; A yellowing of the skin and the whites of the eye, known as jaundice; Golden-brown or copper-colored rings around the irises of the eyes, known as Kayser-Fleischer rings; Fluid buildup in the legs or stomach area; Problems with speech, swallowing or physical coordination; Depression, mood changes and personality changes",,High
Enlarged liver,Cardiovascular,"An enlarged liver might not cause symptoms; When enlarged liver results from liver disease, it might be accompanied by:; When to see a doctor; Make an appointment with your doctor if you have symptoms that worry you","Use supplements with caution; Herbs and supplements to avoid include black cohosh, ma huang and other Chinese herbs, comfrey, germander, greater celandine, kava, pennyroyal, skullcap, and valerian",High
Hemochromatosis,Cardiovascular,Some people with hemochromatosis never have symptoms. Early symptoms often overlap with those of other common conditions; Symptoms may include:; Joint pain; Belly pain; Fatigue; Weakness; Diabetes; Loss of sex drive,,High
Charcot-Marie-Tooth disease,Neurological,"As Charcot-Marie-Tooth disease progresses, symptoms may spread from the feet and legs to the hands and arms",,Medium
Lynch syndrome,Cancer,"Colon cancer before age 50; Cancer of the inside lining of the uterus (endometrial cancer) before age 50; A personal history of more than one type of cancer; A family history of cancer before age 50; A family history of other cancers caused by Lynch syndrome, including stomach cancer, ovarian cancer, pancreatic cancer, kidney cancer, bladder cancer, ureteral cancer, brain cancer, small bowel cancer, gallbladder cancer, bile duct cancer and skin cancer",,High
Hiatal hernia,Cardiovascular,"Heartburn; Backward flow of swallowed food or liquids into the mouth, called regurgitation; Backflow of stomach acid into the esophagus, called acid reflux; Trouble swallowing; Chest or abdominal pain; Feeling full soon after you eat; Shortness of breath; Vomiting of blood or passing of black stools, which could mean bleeding in the digestive tract",,Medium
Umbilical hernia,Digestive,An umbilical hernia creates a soft swelling or bulge near the navel; Umbilical hernias in children are usually painless. Umbilical hernias that appear during adulthood may cause abdominal discomfort,,High
Shingles,Infectious,"Some people also experience:; Pain is usually the first symptom of shingles; Most commonly, the shingles rash develops as a stripe of blisters that wraps around either the left or right side of the torso","A shingles vaccine may help prevent shingles; Shingrix is approved and recommended for people age 50 and older, whether they've had shingles or not; Shingrix is also recommended for people who are 19 years of age and older who have weakened immune systems due to disease or medication; Shingrix is a nonliving vaccine made of a virus component; The shingles vaccine doesn't guarantee that you won't get shingles; Talk to your health care provider about your vaccination options if you:; The shingles vaccine is used only as a way to prevent shingles. It's not intended to treat people who currently have the disease",High
Ramsay Hunt syndrome,Neurological,"Usually, the rash and the facial paralysis occur at the same time. Sometimes one can happen before the other. Other times, the rash never occurs; If you have Ramsay Hunt syndrome, you might also experience:","Children are now routinely vaccinated against chickenpox, which greatly reduces the chances of becoming infected with the chickenpox virus",Medium
Genital herpes,Infectious,"Most people infected withHSVdon't know they have it. They may have no symptoms or have very mild symptoms; Symptoms start about 2 to 12 days after exposure to the virus. They may include:; Pain or itching around the genitals; Small bumps or blisters around the genitals, anus or mouth; Painful ulcers that form when blisters rupture and ooze or bleed; Scabs that form as the ulcers heal; Painful urination; Discharge from the urethra, the tube that releases urine from the body","Prevention of genital herpes is the same as preventing other sexually transmitted infections; Have one long-term sexual partner who has been tested forSTIs and isn't infected; Use a condom or dental dam during sexual activity. These reduce the risk of disease, but they don't prevent all skin-to-skin contact during sex; Don't have sex when a partner with genital herpes has symptoms",High
Secondary hypertension,Cardiovascular,"Like primary hypertension, secondary hypertension usually has no specific symptoms, even if blood pressure has reached dangerously high levels; For people diagnosed with high blood pressure, having any of these signs may mean the condition is secondary hypertension:",,High
Priapism,Infectious,Priapism symptoms vary depending on the type of priapism. The two main types of priapism are ischemic priapism and nonischemic priapism,,High
Chronic hives,Infectious,"Batches of welts, called weals, that can arise anywhere on the body; Welts that might be red, purple or skin-colored, depending on your skin color; Welts that vary in size, change shape, and appear and fade repeatedly; Itchiness, also called pruritus, which can be intense; Painful swelling, called angioedema, around the eyes, cheeks or lips; Flares triggered by heat, exercise or stress; Symptoms that persist for more than six weeks and recur often and anytime, sometimes for months or years","Avoid known triggers.If you know what has triggered your hives, try to avoid that substance; Bathe and change your clothes",High
Stye (sty),Eye,Another condition that causes inflammation of the eyelid is a chalazion,,Low
Horner syndrome,Neurological,"Signs and symptoms, particularly ptosis and anhidrosis, may be subtle and difficult to detect",,High
HPV infection,Cancer,"Genital warts; In men, genital warts appear on the penis and scrotum or around the anus. Genital warts rarely cause discomfort or pain. But they might itch or feel tender",It's hard to prevent HPV infections that cause common warts,High
Kyphosis,Neurological,Mild kyphosis may not have any noticeable symptoms,,Medium
Progeria,Cardiovascular,"Usually within the first year of life, you'll notice that your child's growth has slowed. But motor development and intelligence are not affected; Symptoms of this progressive disorder cause a distinctive appearance. They include:; Slowed growth and poor weight gain, with below-average height and weight; Lack of fat that's stored just beneath the skin; Head that is large compared with the face; Small jaw, chin and mouth and thin lips; Thin, curved nose with a slight hook at the end, which may look like a bird's beak; Large eyes and eyelids that don't close completely",,High
High cholesterol,Cardiovascular,High cholesterol has no symptoms. A blood test is the only way to find out if you have it,"Eat a diet that focuses on lean protein, fruits, vegetables and whole grains. Limit sodium and added sugar; Also limit the amount of saturated and trans fats you eat. Instead, eat foods with healthy fats such as fatty or oily fish, nuts, and olive or canola oil; Lose extra weight and keep it off; If you smoke, ask your care team to help you quit; Exercise on most days of the week for at least 30 minutes; Drink less alcohol, if at all. Limit alcohol to no more than up to one drink a day for women and up to two drinks a day for men",High
Cushing syndrome,Cardiovascular,Symptoms of Cushing syndrome can vary depending on the level of extra cortisol,,Medium
Farsightedness,Eye,"Nearby objects appear blurry; You need to squint to see clearly; You have eyestrain, including burning eyes and aching in or around the eyes; You have general eye discomfort or a headache after doing close tasks, such as reading, writing, computer work or drawing, for a time",,High
Compulsive sexual behavior,Mental Health,"You have repeated and intense sexual fantasies, urges, and behaviors that take up a lot of your time and feel as if they're beyond your control; You feel driven or have frequent urges to do certain sexual behaviors, feel a release of the tension afterward, but also feel guilt or deep regret; You've tried without success to reduce or control your sexual fantasies, urges or behavior; You use compulsive sexual behavior as an escape from other problems, such as loneliness, depression, anxiety or stress; You continue to engage in sexual behaviors in spite of them causing serious problems; You have trouble making and keeping healthy and stable relationships","Get help early for problems with sexual behavior; Seek treatment early for mental health conditions.Depression, anxiety or other mental health conditions can make compulsive sexual behavior worse; Get help for problems with alcohol and drug use.These can cause a loss of control that leads to poor judgment and sexual behaviors that aren't healthy; Avoid risky situations.Don't risk your health or that of others by putting yourself into situations where you'll be tempted to engage in risky sexual activities",High
High blood pressure (hypertension),Cardiovascular,"Most people with high blood pressure have no symptoms, even if blood pressure readings reach dangerously high levels; A few people with high blood pressure may have:; However, these symptoms aren't specific. They usually don't occur until high blood pressure has reached a severe or life-threatening stage",,Medium
Preeclampsia,Cardiovascular,"The defining feature of preeclampsia is high blood pressure, proteinuria, or other signs of damage to the kidneys or other organs; Along with high blood pressure, preeclampsia signs and symptoms may include:; Weight gain and swelling (edema) are typical during healthy pregnancies","The best clinical evidence for prevention of preeclampsia is the use of low-dose aspirin; It's important that you talk with your provider before taking any medications, vitamins or supplements to make sure it's safe for you",High
Pulmonary hypertension,Cardiovascular,"The symptoms of pulmonary hypertension develop slowly. You may not notice them for months or even years. Symptoms get worse as the disease continues; Pulmonary hypertension symptoms include:; Shortness of breath. It may first start during exercise and eventually happen at rest; Blue or gray skin. Depending on skin color, these changes may be harder or easier to see; Chest pressure or pain; Dizziness or fainting; Fast pulse or pounding heartbeat; Fatigue",,High
Low sex drive in women,Musculoskeletal,"neither of you may have a sex drive that's outside what's typical for people at your stage in life; And even if your sex drive is lower than it once was, your relationship may be strong. Bottom line: There is no magic number to define low sex drive. It varies; Symptoms of low sex drive in women include:; Having less or no interest in any type of sexual activity, including masturbation; Never or only seldom having sexual fantasies or thoughts; Being sad or concerned about your lack of sexual activity or fantasies",,Low
Diabetic hypoglycemia,Neurological,"Diabetic hypoglycemia can cause a number of symptoms; At first, symptoms of diabetic hypoglycemia include:",,High
Dehydration,Other,Thirst isn't always a good way to tell if the body needs water; The symptoms of dehydration can differ by age,"To keep from getting dehydrated, drink fluids and eat foods that hold a lot of water, such as fruits and vegetables; Conditions that can create a need for more fluids include:",High
Low blood pressure (hypotension),Cardiovascular,"Blurred or fading vision; Dizzy or lightheaded feelings; Fainting; Fatigue; Trouble concentrating; Upset stomach; For some people, low blood pressure may be a symptom of an underlying health condition; A sudden fall in blood pressure can be dangerous",,High
Inflammatory bowel disease (IBD),Digestive,Inflammatory bowel disease symptoms vary depending on how bad the inflammation is and where it occurs; Symptoms that are common to both Crohn's disease and ulcerative colitis include:; Diarrhea; Belly pain and cramping; Blood in the stool; Loss of appetite; Losing weight without trying; Feeling extremely tired,,High
Irritable bowel syndrome,Cancer,"Belly pain, cramping or bloating that is related to passing stool; Changes in appearance of stool; Changes in how often you are passing stool; Other symptoms that are often related include sensation of incomplete evacuation and increased gas or mucus in the stool",,High
Pseudotumor cerebri (idiopathic intracranial hypertension),Cancer,"Sometimes, symptoms that have resolved can recur months or years later",,Medium
Immune thrombocytopenia (ITP),Infectious,"Easy bruising; Bleeding into the skin that looks like tiny reddish-purple spots, also known as petechiae. The spots mostly show up on the lower legs. They look like a rash; Bleeding into the skin that's larger than petechiae, also known as purpura; Bleeding from the gums or nose; Blood in urine or stools; Really heavy menstrual flow",,High
Toe walking in children,Mental Health,Toe walking is walking on the toes or the ball of the foot,,Low
Prediabetes,Cardiovascular,"Prediabetes doesn't usually have any signs or symptoms; One possible sign of prediabetes is darkened skin on certain parts of the body. Affected areas can include the neck, armpits and groin; Classic signs and symptoms that suggest you've moved from prediabetes to type 2 diabetes include:; Increased thirst; Frequent urination; Increased hunger; Fatigue; Blurred vision",Eating healthy foods; Getting active; Losing excess weight; Controlling your blood pressure and cholesterol; Not smoking,High
Inherited metabolic disorders,Other,There are hundreds of inherited metabolic disorders caused by different genes. Symptoms depend on the type of disorder and how severe it is; Examples of inherited metabolic disorders include:; Familial hypercholesterolemia; Gaucher disease; Hunter syndrome; Krabbe disease; Maple syrup urine disease; Metachromatic leukodystrophy,,Low
Hemangioma,Musculoskeletal,"A hemangioma may be visible at birth, but it appears more often during the first month of life; During your child's first year, the red mark may grow rapidly into a spongy, rubbery-looking bump that sticks out from the skin; Many hemangiomas go away by age 5, and most go away by age 10. The skin may be slightly discolored or raised after the hemangioma goes away",,Low
Female infertility,Ear/Nose/Throat,The main symptom of infertility is the inability to get pregnant,,High
